threshold,n_samples,true_positive,false_positive,true_negative,false_negative,precision,recall,specificity,false_positive_rate,f1,accuracy,predicted_positive_rate,average_precision,roc_auc,brier_score,expected_calibration_error,simulated_cost,simulated_cost_per_10000
0.36,47030,208,0,26970,19852,1.0,0.01036889332003988,1.0,0.0,0.0205249654627985,0.5778864554539656,0.0044227089092068895,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,496300.0,105528.3861365086
0.37,47030,197,0,26970,19863,1.0,0.009820538384845463,1.0,0.0,0.019450066643629364,0.577652562194344,0.004188815649585371,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,496575.0,105586.85945141398
0.38,47030,189,0,26970,19871,1.0,0.00942173479561316,1.0,0.0,0.01866758852289002,0.5774824580055283,0.004018711460769721,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,496775.0,105629.3854986179
0.39,47030,188,0,26970,19872,1.0,0.009371884346959123,1.0,0.0,0.018569735282497037,0.5774611949819264,0.003997448437167765,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,496800.0,105634.7012545184
0.4,47030,177,0,26970,19883,1.0,0.008823529411764706,1.0,0.0,0.01749271137026239,0.577227301722305,0.0037635551775462473,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,497075.0,105693.17456942378
0.41,47030,173,0,26970,19887,1.0,0.008624127617148555,1.0,0.0,0.01710077596006524,0.5771422496278971,0.0036785030831384224,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,497175.0,105714.43759302574
0.41000000000000003,47030,151,0,26970,19909,1.0,0.007527417746759721,1.0,0.0,0.014942358121814853,0.576674463108654,0.003210716563895386,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,497725.0,105831.38422283648
0.42,47030,151,0,26970,19909,1.0,0.007527417746759721,1.0,0.0,0.014942358121814853,0.576674463108654,0.003210716563895386,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,497725.0,105831.38422283648
0.43,47030,135,0,26970,19925,1.0,0.006729810568295114,1.0,0.0,0.01336964595196831,0.5763342547310227,0.002870508186264087,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498125.0,105916.43631724431
0.44,47030,125,0,26970,19935,1.0,0.006231306081754736,1.0,0.0,0.01238543472875898,0.5761216244950031,0.002657877950244525,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498375.0,105969.5938762492
0.45,47030,121,0,26970,19939,1.0,0.006031904287138584,1.0,0.0,0.0119914771319558,0.5760365724005954,0.0025728258558367,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498475.0,105990.85689985116
0.46,47030,121,0,26970,19939,1.0,0.006031904287138584,1.0,0.0,0.0119914771319558,0.5760365724005954,0.0025728258558367,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498475.0,105990.85689985116
0.47000000000000003,47030,119,0,26970,19941,1.0,0.005932203389830509,1.0,0.0,0.011794439764111205,0.5759940463533915,0.0025302998086327876,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498525.0,106001.48841165213
0.48,47030,119,0,26970,19941,1.0,0.005932203389830509,1.0,0.0,0.011794439764111205,0.5759940463533915,0.0025302998086327876,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498525.0,106001.48841165213
0.49,47030,119,0,26970,19941,1.0,0.005932203389830509,1.0,0.0,0.011794439764111205,0.5759940463533915,0.0025302998086327876,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498525.0,106001.48841165213
0.5,47030,116,0,26970,19944,1.0,0.005782652043868395,1.0,0.0,0.011498810467882634,0.5759302572825856,0.002466510737826919,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498600.0,106017.4356793536
0.51,47030,116,0,26970,19944,1.0,0.005782652043868395,1.0,0.0,0.011498810467882634,0.5759302572825856,0.002466510737826919,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498600.0,106017.4356793536
0.52,47030,115,0,26970,19945,1.0,0.005732801595214357,1.0,0.0,0.011400247831474598,0.5759089942589837,0.002445247714224963,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498625.0,106022.75143525409
0.53,47030,114,0,26970,19946,1.0,0.005682951146560319,1.0,0.0,0.01130167542381283,0.5758877312353816,0.0024239846906230064,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498650.0,106028.06719115458
0.54,47030,114,0,26970,19946,1.0,0.005682951146560319,1.0,0.0,0.01130167542381283,0.5758877312353816,0.0024239846906230064,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498650.0,106028.06719115458
0.55,47030,107,0,26970,19953,1.0,0.005333998005982054,1.0,0.0,0.010611394852977636,0.575738890070168,0.002275143525409313,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498825.0,106065.27748245801
0.56,47030,107,0,26970,19953,1.0,0.005333998005982054,1.0,0.0,0.010611394852977636,0.575738890070168,0.002275143525409313,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498825.0,106065.27748245801
0.5700000000000001,47030,107,0,26970,19953,1.0,0.005333998005982054,1.0,0.0,0.010611394852977636,0.575738890070168,0.002275143525409313,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498825.0,106065.27748245801
0.58,47030,107,0,26970,19953,1.0,0.005333998005982054,1.0,0.0,0.010611394852977636,0.575738890070168,0.002275143525409313,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,498825.0,106065.27748245801
0.59,47030,98,0,26970,19962,1.0,0.004885343968095713,1.0,0.0,0.009723186824089692,0.5755475228577503,0.0020837763129917075,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499050.0,106113.11928556241
